[2025-04-02 15:18:05,687: INFO: main: Welcme to my Log]
[2025-04-02 15:19:16,704: INFO: main: Welcome to my Log]
[2025-04-07 15:19:04,428: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-07 15:19:04,432: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-07 15:19:04,434: INFO: common: created directory at: artifacts]
[2025-04-07 15:19:04,436: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-07 15:19:04,438: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-07 15:19:32,624: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-08 14:38:36,055: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-08 14:38:36,058: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-08 14:38:36,059: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-08 14:38:36,060: INFO: common: created directory at: artifacts]
[2025-04-08 14:38:36,061: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-08 14:38:36,062: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-08 14:39:40,898: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-08 14:39:42,447: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
